Country,City,AccentCity,Region,Population,Latitude,Longitude
tr,zavli,Zavli,61,,40.897142,40.099496
gn,nabala,Nabala,07,,11.5333333,-10.9666667
gb,fidden,Fidden,T8,,56.3,-6.366667
pg,daginava 2,Daginava 2,09,,-6.4,145.45
hr,zminj,Zminj,04,,45.1427778,13.9088889
gb,fife keith,Fife Keith,V6,,57.533333,-2.966667
pe,miraflores,Miraflores,24,,-3.6811111,-80.3263889
id,bendotretok,Bendotretok,08,,-7.4448,112.565
gb,fifield,Fifield,K2,,51.85,-1.65
ru,galancoz,Galancoz,CI,,42.883333,45.3
gb,filby,Filby,I9,,52.65,1.666667
id,gunungcibulakan,Gunungcibulakan,30,,-7.362,108.1575
gb,filgrave,Filgrave,I6,,52.133333,-.716667
kr,turari,Turari,13,,37.355833,127.642778
ng,kuewe,Kuewe,26,,7.3554,8.2726
gb,fillongley,Fillongley,P3,,52.466667,-1.583333
gb,filton,Filton,M6,,51.508611,-2.574722
in,ambi danna,Ambi Danna,12,,32.979167,74.6375
us,plain view,Plain View,AR,,34.3013889,-92.1041667
kp,tangmol,Tangmol,09,,38.3933333,126.8105556
pl,schalmey,Schalmey,85,,54.289626,19.868866
gb,finchampstead,Finchampstead,F2,,51.35,-.85
zr,saitala,Saitala,00,,-10.7833333,23.3666667
gb,finchley,Finchley,A2,,51.6,-.166667
gb,findermore,Findermore,S1,,54.4,-7.2
kr,yokpungni,Yokpungni,13,,37.257222,127.180556
gb,findhorn,Findhorn,V6,1040,57.65,-3.6
gb,findochty,Findochty,V6,1102,57.683333,-2.9
th,ban pran,Ban Pran,35,,14.728306,100.331167
pk,basaya,Basaya,04,,32.197754,74.740802
kr,kalli,Kalli,17,,36.6,126.716667
it,rigolo,Rigolo,05,,44.716667,9.616667
gb,fingask,Fingask,T6,,57.333333,-2.366667
gb,fingest,Fingest,B9,,51.6,-.866667
id,alur meurbo,Alur Meurbo,01,,4.9347,97.6918
id,manrimisicaddi,Manrimisicaddi,38,,-4.998,119.5307
gb,fingringhoe,Fingringhoe,E4,,51.833333,.933333
gb,finmere,Finmere,B9,,51.983333,-1.066667
gb,finnart,Finnart,W1,,56.666667,-4.416667
ru,gusek,Gusek,83,,55.6713,41.4808
ua,horishnya slobidka,Horishnya Slobidka,22,,49.122237,25.160819
ve,punceres,Punceres,16,,9.91,-63.12
tr,sarikoy,Sarikoy,70,,37.666679,43.538325
gb,finsbury,Finsbury,I8,,51.528393,-.11435
ht,plaine sable,Plaine Sable,12,,18.3666667,-74.2833333
gb,fintona,Fintona,T3,,54.5,-7.316667
sn,bargny gouddou,Bargny Gouddou,01,,14.6938889,-17.2336111
ru,demokhi,Demokhi,77,,55.7165,32.7596
gb,finvoy,Finvoy,R1,,55,-6.5
lt,pajomantis,Pajomantis,63,,55.6666667,22.1166667
id,paldalapan,Paldalapan,30,,-6.496667,107.503056
za,rooiplass,Rooiplass,05,,-31.216667,26.416667
hu,nagygyon,Nagygyón,08,,47.317631,18.089078
se,ljungsbro,Ljungsbro,16,,58.516667,15.5
id,gunungbodas,Gunungbodas,30,,-7.2539,107.8415
gb,fishburn,Fishburn,D8,,54.683333,-1.433333
id,bengkalan,Bengkalan,11,,-.516667,109.25
jm,stanhope,Stanhope,01,,18.1833333,-77.2666667
gb,fisherton,Fisherton,P8,,51.15,-2
pk,thoru,Thoru,03,,36.3757,72.3968
ru,kiya,Kiya,50,,67.658685,44.094797
se,simondal,Simondal,09,,57.933333,16.183333
gb,fishponds,Fishponds,B7,,51.486389,-2.513889
id,ivenke,Ivenke,36,,-7.166667,140.316667
gb,fishtown of usan,Fishtown of Usan,T7,,56.683333,-2.45
gb,fiskavaig,Fiskavaig,V3,,57.3,-6.433333
lk,nayiliya,Nayiliya,32,,7.45,80.35
in,bamhni,Bamhni,35,,22.483333,80.366667
ng,tugan lafia,Tugan Lafia,31,,10.834556,4.301128
ng,dambo gaji,Dambo Gaji,40,,12.182011,3.700845
ir,qal`eh-ye mohi od din,Qal`eh-ye Mohi od Din,34,,34.719612,49.976826
gb,fitz,Fitz,L6,,52.75,-2.816667
th,ban thung nok,Ban Thung Nok,66,,7.25,100.316667
gb,fitzwilliam,Fitzwilliam,O7,,53.633333,-1.383333
gb,fiunary,Fiunary,V3,,56.55,-5.85
pl,neuendorf nerfken,Neuendorf Nerfken,85,,54.184285,20.513526
gb,fivemiletown,Fivemiletown,S1,,54.383333,-7.3
no,hovde,Hovde,02,,59.533333,7.35
gb,five penny borve,Five Penny Borve,W8,,58.416667,-6.416667
gw,aliu bure,Aliu Burè,10,,12.3666667,-14.3166667
jp,shingu,Shingu,07,25992,33.716667,130.433333
gb,flagg,Flagg,D3,,53.216667,-1.8
gb,flamborough,Flamborough,E1,,54.1,-.116667
ye,al `aja'iz,Al `Aja'iz,06,,13.2011111,44.4111111
pe,yacuacancha,Yacuacancha,12,,-11.1772222,-75.9627778
gw,sincha boche,Sinchã Boché,04,,11.9166667,-14.5666667
pk,chak latifullah,Chak Latifullah,04,,33.055658,73.685197
us,greencastle,Greencastle,WV,,38.0633333,-81.3730556
iq,majid hamid,Majid Hamid,10,,33.8858333,45.0841667
gb,flaxley,Flaxley,E6,,51.833333,-2.45
ir,zangi kalat,Zangi Kalat,04,,25.7,61.383333
mz,telele,Tèlelè,06,,-15.9705556,39.3441667
gb,fleet,Fleet,F2,34218,51.283333,-.833333
ve,los guires,Los Güires,03,,7.6,-67.35
gb,fleetland,Fleetland,F2,,50.833333,-1.183333
gb,fleetwood,Fleetwood,H2,27077,53.916667,-3
ir,rebat,Rebat,40,,33.286944,57.504722
gb,flempton,Flempton,N5,,52.3,.65
id,tugu tengah,Tugu Tengah,30,,-6.601944,106.691389
vn,lang lam,Làng Lâm,16,,20.55,105.583333
mm,tarazu,Tarazu,12,,13.2666667,98.9833333
ng,akpaku,Akpaku,41,,7.983333,7.266667
gr,esik-dere,Esík-Deré,02,,41.2333333,25.7666667
id,sinah,Sinah,17,,-8.8129,116.253
gq,nkumesong,Nkumesong,06,,1.6,10.3333333
gb,flinton,Flinton,E1,,53.8,-.166667
my,padang serai,Padang Serai,02,,5.51307,100.553562
mx,carrizo de rubios,Carrizo de Rubios,14,,20.8,-102.066667
ua,mushayrusskiy,MushayRusskiy,11,,45.35,34.916667
id,demang,Demang,07,,-6.6762,111.0746
us,state line,State Line,TN,,36.5902778,-84.4388889
us,concrete,Concrete,WA,,48.5394444,-121.7450000
md,nimereuca,Nimereuca,87,,48.113889,28.535556
pk,goth mamdani,Goth Mamdani,04,,28.426065,69.932963
tr,kisla,Kisla,31,,36.379505,36.179002
tr,salarkolu,Salarkolu,57,,41.25,35.35
pe,chugollpa,Chugollpa,13,,-7.7961111,-77.8411111
nl,het laar,Het Laar,06,,51.472646,4.673069
lk,bananga,Bananga,29,,7.3666667,80.55
ug,kelak,Kelak,26,,2.65,32.9166667
gb,flynnon taf,Flynnon Taf,X5,,51.542778,-3.2725
ru,blagodatka,Blagodatka,72,,53.671284,42.070974
lk,kurukuda,Kurukuda,29,,7.15,80.5666667
ye,bana fadl,Bana Fadl,13,,13.9833333,44.5166667
gb,fockerby,Fockerby,J3,,53.666667,-.716667
ru,maloye bashkatovo,Maloye Bashkatovo,56,,53.166667,36.25
kr,wonjongsan,Wonjongsan,03,,35.601104,127.075148
gb,fogo,Fogo,T9,,55.733333,-2.366667
ng,kpachita sokyanya,Kpachita Sokyanya,31,,8.933333,5.9
se,starbsnas,Stärbsnäs,26,,59.816667,19.05
ru,urbakh,Urbakh,67,,51.235,46.974167
us,centennial village,Centennial Village,UT,,40.6994444,-112.0647222
gb,folkton,Folkton,J7,,54.2,-.383333
gb,fonthill bishop,Fonthill Bishop,P8,,51.096389,-2.093889
ng,aho igbada,Aho Igbada,32,,8.1,4.533333
it,san pancrazio,San Pancrazio,05,,44.358889,12.085556
hr,varazdin breg,Varazdin Breg,16,,46.2380556,16.3677778
us,yellowjacket,Yellowjacket,ID,,44.9797222,-114.5308333
ru,bolshiye tokshiki,Bolshiye Tokshiki,16,,55.926435,46.650692
zr,ka-ngombo,Ka-Ngombo,00,,-6.9166667,18.85
gn,teyeoun,Teyeoun,24,,7.6588889,-8.8794444
se,rotabo,Rotabo,06,,56.966667,13.483333
ru,turomshchino,Turomshchino,76,,53.87813,35.978369
ru,bezdushnikovo,Bezdushnikovo,85,,58.883333,40.25
mx,guarda raya,Guarda Raya,24,,22.733333,-100.85
gb,ford green,Ford Green,N4,,53.05,-2.166667
pk,thatti lal,Thatti Lal,04,,30.101014,71.366083
gb,fordham,Fordham,E4,,51.916667,.8
gb,fordingbridge,Fordingbridge,F2,,50.933333,-1.8
so,galoollo,Galoollo,04,,2.65,43.9833333
id,banjar pangkungkarung kangin,Banjar Pangkungkarung Kangin,02,,-8.5437,115.1036
ru,kidiri,Kidiri,CI,,42.998042,46.147937
my,kampong parit meriam,Kampong Parit Meriam,01,,2.1875,102.673
zm,kaombwe,Kaombwe,07,,-9.4666667,32.8833333
th,ban nong sak,Ban Nong Sak,46,,13.28875,101.179278
mx,santa maria ocotlan,Santa María Ocotlan,10,,22.983333,-104.516667
lr,kenata,Kenata,05,,7.6011111,-9.9188889
gb,forfar county,Forfar County,T7,,56.666667,-2.916667
ua,dermanka,Dermanka,09,,50.323252,27.326166
gb,forfarshire,Forfarshire,T7,,56.666667,-2.916667
pl,peplino,Peplino,82,,54.528627,16.866489
gb,forkhill,Forkhill,S9,,54.083333,-6.45
ph,kungtad,Kungtad,60,2464,5.5572,120.8472
gb,formby,Formby,L8,24225,53.55,-3.05
ng,moru,Moru,57,,12.462837,6.766206
gn,tahire,Tahire,04,,9.4644444,-13.7963889
lk,metiwewa,Metiwewa,32,,7.5,80.1833333
th,ban bang si khot,Ban Bang Si Khot,55,,13.497667,100.219639
id,banjar simpangan,Banjar Simpangan,02,,-8.5806,115.1012
gb,forres,Forres,V6,9134,57.6,-3.616667
mz,malijane,Malijane,03,,-22.7025,35.2936111
rs,baralici,Baralici,00,,43.766667,20.204444
gb,forsinard,Forsinard,V3,,58.35,-3.9
lk,wilakatupota,Wilakatupota,32,,7.6119444,80.2536111
lk,champankaddaikadu,Champankaddaikadu,31,,8.8666667,79.9666667
lt,stragutyshki,Stragutyshki,62,,55.2333333,22.35
